Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I3L7_Cnt3,476.4186,476.4163021763667,133200000.0,0.004247434437274933,15,-0.0666999999999689,15,0.04999999995334292
M9I1L9_Cnt3,490.1574,490.15526206429996,354900000.0,0.004120936617255211,15,-0.0676000000000272,15,1.4000000000407908
M9I1L7_Cnt5,476.9046,476.90300403289996,24900000.0,0.003345281118527055,13,-0.07619999999997162,13,0.9400000000368891
M8I2L7_Cnt3,501.9282,501.92749535819996,218300000.0,0.0051442645490169525,13,-0.07819999999998117,13,1.6599999999755255
M2I3L0_Cnt0,451.4074,451.408635741675,14090000.0,0.03773398697376251,4,-0.2504000000000133,4,0.16000000000531145
M2I3L0_Cnt0,451.1571,451.157796991675,17880000.0,0.061748795211315155,4,-0.25029999999998154,4,0.1199999999926149
M2I3L0_Cnt0,450.9068,450.90893299167504,20360000.0,0.05614817887544632,4,-0.2503000000000384,4,0.12000000001535227
M2I3L0_Cnt0,450.6566,450.65809424167503,16460000.0,0.09188221395015717,4,-0.2501999999999498,4,0.07999999997991836
M2I3L0_Cnt0,450.4066,450.407255491675,16280000.0,0.07451964914798737,4,-0.25,4,0.0
M2I3L0_Cnt0,450.1565,450.15887174167506,10770000.0,0.08007583767175674,4,-0.25010000000003174,4,0.040000000012696546
M2I3L0_Cnt0,449.9065,449.908032991675,7762000.0,0.06494426727294922,4,-0.25,4,0.0
M2I2L1_Cnt0,477.1715,477.16918553155,101800000.0,0.03927908092737198,4,-0.24790000000001555,4,0.8399999999937791
M2I2L1_Cnt0,476.9141,476.91834678155,114400000.0,0.06052771210670471,4,-0.25739999999996144,4,2.959999999984575
M2I2L1_Cnt0,476.6664,476.66948278155,152200000.0,0.05844727158546448,4,-0.2477000000000089,4,0.9199999999964348
M2I2L1_Cnt0,476.4186,476.41864403155,133200000.0,0.09006524085998535,4,-0.2477999999999838,4,0.8800000000064756
M2I2L1_Cnt0,476.171,476.16780528155,125400000.0,0.06882022321224213,4,-0.24760000000003402,4,0.959999999986394
M2I2L1_Cnt0,475.9234,475.91942153155003,70220000.0,0.07849233597517014,4,-0.24759999999997717,4,0.9600000000091313
M2I2L1_Cnt0,475.6664,475.66858278154996,50140000.0,0.05997718870639801,4,-0.257000000000005,4,2.800000000002001
M2I1L2_Cnt0,502.926,502.929735321425,178900000.0,0.040611930191516876,4,-0.2545000000000073,4,1.8000000000029104
M2I1L2_Cnt0,502.6814,502.678896571425,267000000.0,0.05913221463561058,4,-0.24459999999999127,4,2.1600000000034925
M2I1L2_Cnt0,502.427,502.43003257142504,261400000.0,0.060430556535720825,4,-0.25439999999997553,4,1.7599999999902138
M2I1L2_Cnt0,502.1825,502.17919382142503,247800000.0,0.08798874169588089,4,-0.24450000000001637,4,2.1999999999934516
M2I1L2_Cnt0,501.9282,501.928355071425,218300000.0,0.06355670094490051,4,-0.25430000000000064,4,1.7200000000002547
M2I1L2_Cnt0,501.6838,501.679971321425,133600000.0,0.07668265700340271,4,-0.24439999999998463,4,2.240000000006148
M2I1L2_Cnt0,501.4297,501.42913257142504,85320000.0,0.05539000406861305,4,-0.254099999999994,4,1.639999999997599
M2I1L1_Cnt2,760.2109,760.21278794865,3789000.0,0.053146447986364365,2,-0.5054000000000087,2,1.0800000000017462
M2I1L1_Cnt2,759.7176,759.7111104486501,6653000.0,0.05920254439115524,2,-0.4933000000000902,2,1.3399999999819556
M2I1L1_Cnt2,759.2124,759.21292644865,9587000.0,0.02941649593412876,2,-0.49320000000000164,2,1.3599999999996726
M2I1L1_Cnt0,337.3556,337.35302153432497,3314000.0,0.07115449756383896,4,-0.24850000000003547,4,0.5999999999858119
M2I1L1_Cnt0,337.1071,337.104157534325,2460000.0,0.09504716843366623,4,-0.24849999999997863,4,0.6000000000085493
M2I1L1_Cnt0,336.8588,336.85577378432504,2608000.0,0.03673236072063446,4,-0.24830000000002883,4,0.6799999999884676
M2I0L3_Cnt0,528.4441,528.4394463613,117100000.0,0.0575961172580719,4,-0.25079999999991287,4,0.31999999996514816
M2I0L3_Cnt0,528.1933,528.1905823613,132600000.0,0.062105026096105576,4,-0.25080000000002656,4,0.3200000000106229
M2I0L3_Cnt0,527.9426,527.9397436113,110900000.0,0.08570303022861481,4,-0.25070000000005166,4,0.2800000000206637
M2I0L3_Cnt0,527.6919,527.6889048613,100200000.0,0.05869574472308159,4,-0.250699999999938,4,0.279999999975189
M2I0L3_Cnt0,527.4413,527.4405211113,59850000.0,0.07469064742326736,4,-0.25060000000007676,4,0.24000000003070454
M2I0L3_Cnt0,527.1908,527.1896823613,34410000.0,0.051153652369976044,4,-0.2504999999999882,4,0.19999999999527063
M2I0L2_Cnt0,363.6108,363.6127938242,40570000.0,0.03770054131746292,4,-0.24970000000001846,4,0.1199999999926149
M2I0L2_Cnt0,363.3611,363.3644100742,52930000.0,0.06396551430225372,4,-0.24969999999996162,4,0.12000000001535227
M2I0L2_Cnt0,363.1116,363.1135713242,71250000.0,0.06571244448423386,4,-0.24950000000001182,4,0.19999999999527063
M2I0L2_Cnt0,362.8622,362.8647073242,56820000.0,0.0951806902885437,4,-0.24940000000003693,4,0.2399999999852298
M2I0L2_Cnt0,362.6128,362.6138685742,65910000.0,0.09778012335300446,4,-0.24939999999998008,4,0.24000000000796717
M2I0L2_Cnt0,362.3635,362.36548482420005,38870000.0,0.08295048028230667,4,-0.24930000000000518,4,0.27999999999792635
M2I0L2_Cnt0,362.1143,362.1146460742,38870000.0,0.08521589636802673,4,-0.24919999999997344,4,0.3200000000106229
M1I1L0_Cnt1,707.2001,707.1936428689,5592000.0,0.06290253251791,1,-0.9983999999999469,1,0.16000000000531145
M1I0L1_Cnt0,362.6128,362.6163235742,65910000.0,0.14207857847213745,2,-0.498800000000017,2,0.2399999999965985
M1I0L1_Cnt0,362.1143,362.1146460742,38870000.0,0.291917622089386,2,-0.4984999999999786,2,0.3000000000042746
M11I4L4_Cnt9,490.2637,490.26756665147695,2722000.0,0.002232510596513748,13,-0.07730000000003656,13,0.4900000000475302
M10I8L1_Cnt7,490.8243,490.82111440150766,337900000.0,0.0028519753832370043,13,-0.07729999999997972,13,0.48999999997363375
L+H,661.3135,661.3079701803,29950000.0,0.6002140045166016,1,-0.9991999999999734,1,0.08000000000265572
I+H,558.2689,558.2657710208,9597000.0,0.6499214172363281,1,-1.000599999999963,1,0.05999999999630745
