Formula,found_mz,theoretical_mz,found_intensity,theoretical_intensity,predicted_charge,mz_difference,charge,splitting_error
M9I4L4_Cnt5,477.4099,477.4118012691692,138200000.0,0.006635928992182016,13,-0.07620000000002847,13,0.9399999999629927
M9I4L4_Cnt5,477.181,477.1808654230154,149100000.0,0.007289053872227669,13,-0.07630000000000337,13,0.8099999999956253
M9I4L4_Cnt5,477.1048,477.10368426916926,7912000.0,0.00603520218282938,13,-0.07619999999997162,13,0.9400000000368891
M9I4L4_Cnt5,477.0285,477.02725849993845,6642000.0,0.0063524493016302586,13,-0.07630000000000337,13,0.8099999999956253
M9I1L9_Cnt3,502.6129,502.6119738996333,3914000.0,0.006383451633155346,15,-0.0684999999999718,15,2.7499999999577085
M9I1L9_Cnt3,502.5444,502.5450835663,4466000.0,0.006676479708403349,15,-0.06850000000002865,15,2.7500000000429736
M8I7L2_Cnt3,476.5139,476.5146470299308,3820000.0,0.008902488276362419,13,-0.07620000000002847,13,0.9399999999629927
M8I7L2_Cnt3,476.4377,476.4380734914693,47680000.0,0.008500978350639343,13,-0.07619999999997162,13,0.9400000000368891
M8I7L2_Cnt3,476.3615,476.3608923376231,2921000.0,0.008831269107758999,13,-0.07620000000002847,13,0.9399999999629927
M8I7L2_Cnt3,476.2853,476.28446656839236,3455000.0,0.00889037735760212,13,-0.07619999999997162,13,0.9400000000368891
M7I5L1_Cnt4,450.388,450.38938976529,5201000.0,0.011570597998797894,10,-0.10190000000000055,10,1.9000000000005457
M7I2L3_Cnt5,477.4099,477.408146597,138200000.0,0.012889120727777481,9,-0.11439999999998918,9,2.9599999999902593
M7I0L6_Cnt4,501.9087,501.91048934504,7550000.0,0.010221638716757298,10,-0.09769999999997481,10,2.300000000025193
M5I0L2_Cnt5,477.4003,477.40060844936,9558000.0,0.01980210654437542,5,-0.20029999999997017,5,0.1499999999850843
M2I3L0_Cnt2,1050.7715,1050.7698913733502,2916000.0,0.05053955316543579,2,-0.49509999999986576,2,0.9800000000268483
